,filename,hostname,vrf_name,description,address_family,import_type,import_id,export_type,export_id
1771,10.122.33.185,RAC_LK26M21C,definition lte,,ipv4,,,,
1772,10.122.18.228,RAC_TAW5P21C,definition Mgmt-intf,,ipv6,,,,
1773,10.122.44.196,RAC_MU50P21C,definition Mgmt-intf,,ipv6,,,,
1774,10.122.35.60,RAC_BPK7M21C,definition Mgmt-intf,,ipv6,,,,
1775,10.122.35.60,RAC_BPK7M21C,definition lte,,ipv4,,,,
1776,10.125.194.215,RAC_SU34M21C,definition Mgmt-intf,,ipv6,,,,
1777,10.125.194.215,RAC_SU34M21C,definition lte,,ipv4,,,,
1778,10.122.35.136,RAC_SST1M21C,definition Mgmt-intf,,ipv6,,,,
1779,10.122.35.136,RAC_SST1M21C,definition lte,,ipv4,,,,
1780,10.122.22.217,RAC_TITWP21C,definition Mgmt-intf,,ipv6,,,,
1781,10.122.9.46,RSW_CTBNP01C,definition mgmtVrf,,ipv6,,,,
1782,10.122.48.10,RAC_LPG6M21C,definition Mgmt-intf,,ipv6,,,,
1783,10.122.48.10,RAC_LPG6M21C,definition lte,,ipv4,,,,
1784,10.122.29.138,RAC_P106M21C,definition Mgmt-intf,,ipv6,,,,
1785,10.122.29.138,RAC_P106M21C,definition lte,,ipv4,,,,
1786,10.124.210.209,RAC_PNP3M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1787,10.124.210.209,RAC_PNP3M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1788,10.124.213.143,RAC_CSS3M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1789,10.124.213.143,RAC_CSS3M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1790,10.122.32.153,RAC_PS58M21C,definition Mgmt-intf,,ipv6,,,,
1791,10.122.32.153,RAC_PS58M21C,definition lte,,ipv4,,,,
1792,10.122.46.58,RAC_PCR2M21C,definition Mgmt-intf,,ipv6,,,,
1793,10.122.46.58,RAC_PCR2M21C,definition lte,,ipv4,,,,
1794,10.122.15.217,RAC_PSSBM21C,definition Mgmt-intf,,ipv6,,,,
1795,10.122.15.217,RAC_PSSBM21C,definition lte,,ipv4,,,,
1796,10.122.30.102,RAC_CN18M21C,definition Mgmt-intf,,ipv6,,,,
1797,10.122.30.102,RAC_CN18M21C,definition lte,,ipv4,,,,
1798,10.124.210.64,RAC_TL64M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1799,10.124.210.64,RAC_TL64M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
