,filename,hostname,vrf_name,description,address_family,import_type,import_id,export_type,export_id
2010,10.122.41.185,RAC_SMHCM21C,definition Mgmt-intf,,ipv6,,,,
2011,10.122.41.185,RAC_SMHCM21C,definition lte,,ipv4,,,,
2012,10.124.209.232,RAC_PR24M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
2013,10.124.209.232,RAC_PR24M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
2014,10.122.47.235,RAC_R269M21C,definition Mgmt-intf,,ipv6,,,,
2015,10.122.47.235,RAC_R269M21C,definition lte,,ipv4,,,,
2016,10.122.35.182,RAC_BK08M21C,definition Mgmt-intf,,ipv6,,,,
2017,10.122.35.182,RAC_BK08M21C,definition lte,,ipv4,,,,
2018,10.124.212.138,RAC_WYR1M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
2019,10.124.212.138,RAC_WYR1M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
2020,10.122.43.22,RAC_ANP8M21C,definition Mgmt-intf,,ipv6,,,,
2021,10.122.43.22,RAC_ANP8M21C,definition lte,,ipv4,,,,
2022,10.122.44.61,RAC_WBPYM21C,definition Mgmt-intf,,ipv6,,,,
